               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11856,            0.039044,                   0,                   0,                   0,                   0,                   0,            0.088159,            0.026751,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.12197,            0.038397,                   0,                   0,                   0,                   0,                   0,            0.087285,            0.025604,                   0,            0.077488,           0.0024876,           0.0024876
                   2,             0.10775,            0.037664,                   0,                   0,                   0,                   0,                   0,            0.085635,            0.025198,                   0,            0.065762,           0.0037624,           0.0037624
                   3,             0.11905,            0.037266,                   0,                   0,                   0,                   0,                   0,            0.085635,            0.025198,                   0,            0.054024,           0.0050243,           0.0050243
                   4,              0.1212,            0.039189,                   0,                   0,                   0,                   0,                   0,            0.084923,            0.024351,                   0,            0.042273,           0.0062733,           0.0062733
                   5,             0.11858,            0.040588,                   0,                   0,                   0,                   0,                   0,            0.084923,            0.024351,                   0,            0.030509,           0.0075094,           0.0075094
                   6,             0.10723,            0.037382,                   0,                   0,                   0,                   0,                   0,            0.084254,            0.023439,                   0,            0.018733,           0.0087327,           0.0087327
                   7,             0.10227,            0.039027,                   0,                   0,                   0,                   0,                   0,            0.084254,            0.023439,                   0,           0.0096535,           0.0096535,           0.0096535
                   8,             0.11236,            0.036823,                   0,                   0,                   0,                   0,                   0,            0.081543,            0.022968,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.10597,            0.035598,                   0,                   0,                   0,                   0,                   0,            0.081543,            0.022968,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.10604,              0.0345,                   0,          0.00047619,            0.058824,          0.00027382,          8.2145e-05,            0.077953,            0.022215,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.10395,            0.037953,                   0,          0.00047619,            0.058824,          0.00027382,          8.2145e-05,            0.077953,            0.022215,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.10159,             0.03836,                   0,          0.00047619,            0.058824,          0.00027382,          8.2145e-05,            0.077953,            0.022215,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.10369,            0.036991,                   0,          0.00047619,            0.058824,          0.00037997,          7.5994e-05,            0.077247,            0.020546,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.10111,             0.03649,                   0,          0.00047619,            0.058824,          0.00037997,          7.5994e-05,            0.077247,            0.020546,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.10884,            0.036331,                   0,           0.0014286,             0.17647,           0.0009623,          0.00012148,            0.073198,            0.019335,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.10347,            0.035496,                   0,           0.0014286,             0.17647,           0.0009623,          0.00012148,            0.073198,            0.019335,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.096991,            0.035951,                   0,           0.0014286,             0.17647,           0.0009623,          0.00012148,            0.073198,            0.019335,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.093219,            0.033498,                   0,           0.0038095,             0.47059,           0.0073165,           0.0013949,            0.071998,            0.017318,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.088414,            0.033878,                   0,           0.0038095,             0.47059,           0.0073165,           0.0013949,            0.071998,            0.017318,                   0,            0.009109,            0.009109,            0.009109
                  20,              0.0868,            0.035427,                   0,           0.0038095,             0.47059,            0.014728,           0.0042398,            0.071156,            0.015483,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.098183,            0.036872,                   0,           0.0038095,             0.47059,            0.014728,           0.0042398,            0.071156,            0.015483,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.094662,            0.031851,                   0,           0.0038095,             0.47059,            0.014728,           0.0042398,            0.071156,            0.015483,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.092366,            0.035427,                   0,           0.0047619,             0.58824,            0.044925,            0.010779,            0.069269,            0.014782,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.084599,            0.037518,                   0,           0.0047619,             0.58824,            0.044925,            0.010779,            0.069269,            0.014782,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.096456,            0.033033,                   0,            0.022123,             0.52941,            0.049683,             0.01108,            0.069793,             0.01392,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.098179,            0.034096,                   0,            0.022123,             0.52941,            0.049683,             0.01108,            0.069793,             0.01392,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,              0.1007,            0.031972,                   0,            0.022123,             0.52941,            0.049683,             0.01108,            0.069793,             0.01392,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.087585,            0.029787,                   0,             0.05587,             0.35294,            0.064959,            0.015325,            0.069546,            0.013433,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.098281,             0.03239,                   0,             0.05587,             0.35294,            0.064959,            0.015325,            0.069546,            0.013433,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.090611,             0.03123,                   0,             0.20036,             0.29412,             0.16821,            0.034837,            0.063208,            0.013438,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.094745,            0.030304,                   0,             0.20036,             0.29412,             0.16821,            0.034837,            0.063208,            0.013438,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.089982,            0.035736,                   0,             0.20036,             0.29412,             0.16821,            0.034837,            0.063208,            0.013438,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.086567,            0.038569,                   0,              0.2217,             0.41176,             0.19957,            0.044528,            0.064452,            0.012284,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.089214,            0.034879,                   0,              0.2217,             0.41176,             0.19957,            0.044528,            0.064452,            0.012284,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.089199,            0.030597,                   0,             0.33143,             0.49629,             0.35023,            0.084272,            0.058164,            0.012627,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.073123,            0.032699,                   0,             0.33143,             0.49629,             0.35023,            0.084272,            0.058164,            0.012627,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.087754,            0.025822,                   0,             0.33143,             0.49629,             0.35023,            0.084272,            0.058164,            0.012627,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.084594,            0.027065,                   0,             0.32555,             0.41176,             0.25462,            0.071649,            0.059268,            0.011877,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.077959,            0.032368,                   0,             0.32555,             0.41176,             0.25462,            0.071649,            0.059268,            0.011877,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.089352,            0.031843,                   0,             0.20211,             0.17647,             0.12624,             0.02008,            0.062155,            0.010946,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.082781,            0.026182,                   0,             0.20211,             0.17647,             0.12624,             0.02008,            0.062155,            0.010946,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.082315,            0.030858,                   0,           0.0034079,             0.35294,           0.0044736,          0.00080458,            0.078507,            0.008617,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.10232,            0.024368,                   0,           0.0034079,             0.35294,           0.0044736,          0.00080458,            0.078507,            0.008617,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.10006,            0.022314,                   0,           0.0034079,             0.35294,           0.0044736,          0.00080458,            0.078507,            0.008617,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.096759,            0.021299,                   0,            0.048079,             0.11765,             0.02002,           0.0044067,            0.076019,            0.008877,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.090354,            0.023198,                   0,            0.048079,             0.11765,             0.02002,           0.0044067,            0.076019,            0.008877,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.091258,            0.023082,                   0,             0.27576,             0.35294,             0.20243,            0.044967,            0.067741,           0.0099634,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.086388,            0.025504,                   0,             0.27576,             0.35294,             0.20243,            0.044967,            0.067741,           0.0099634,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.083869,            0.020617,                   0,             0.27576,             0.35294,             0.20243,            0.044967,            0.067741,           0.0099634,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.08801,            0.028127,                   0,             0.37157,             0.55707,             0.47212,             0.14273,            0.061711,            0.011006,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.078647,            0.028854,                   0,             0.37157,             0.55707,             0.47212,             0.14273,            0.061711,            0.011006,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.079795,            0.029588,                   0,             0.45064,             0.52941,             0.36171,            0.080113,            0.059362,             0.01167,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.071665,            0.025716,                   0,             0.45064,             0.52941,             0.36171,            0.080113,            0.059362,             0.01167,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.069617,             0.02751,                   0,             0.45064,             0.52941,             0.36171,            0.080113,            0.059362,             0.01167,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.073804,            0.030774,                   0,             0.41251,             0.47059,             0.34735,            0.089125,             0.05548,            0.012462,                   0,            0.007327,            0.007327,            0.007327
                  56,             0.07341,            0.028704,                   0,             0.41251,             0.47059,             0.34735,            0.089125,             0.05548,            0.012462,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.076853,            0.028733,                   0,             0.41393,             0.49927,             0.43684,             0.14173,            0.049758,            0.013533,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.075312,            0.030344,                   0,             0.41393,             0.49927,             0.43684,             0.14173,            0.049758,            0.013533,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.067816,            0.029865,                   0,             0.41393,             0.49927,             0.43684,             0.14173,            0.049758,            0.013533,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.064861,            0.028026,                   0,             0.42213,             0.52941,             0.45022,             0.13195,            0.046469,            0.014138,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.070114,             0.02935,                   0,             0.42213,             0.52941,             0.45022,             0.13195,            0.046469,            0.014138,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.064584,            0.032388,                   0,             0.40931,             0.35294,             0.41038,            0.093704,            0.050617,            0.013729,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,              0.0672,            0.029126,                   0,             0.40931,             0.35294,             0.41038,            0.093704,            0.050617,            0.013729,                   0,            0.006931,            0.006931,            0.006931
                  64,             0.06663,            0.030862,                   0,             0.40931,             0.35294,             0.41038,            0.093704,            0.050617,            0.013729,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.063647,            0.028341,                   0,             0.29896,             0.52941,             0.27154,            0.066215,              0.0523,            0.013562,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.068072,            0.029516,                   0,             0.29896,             0.52941,             0.27154,            0.066215,              0.0523,            0.013562,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.069292,            0.028101,                   0,             0.38765,             0.47059,             0.42979,             0.14284,            0.044671,            0.014343,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.063674,            0.026981,                   0,             0.38765,             0.47059,             0.42979,             0.14284,            0.044671,            0.014343,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.062778,            0.030463,                   0,             0.38765,             0.47059,             0.42979,             0.14284,            0.044671,            0.014343,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.068331,            0.027503,                   0,             0.43245,             0.35294,             0.41855,             0.15442,            0.048397,            0.013527,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.068843,            0.028489,                   0,             0.43245,             0.35294,             0.41855,             0.15442,            0.048397,            0.013527,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.065387,            0.032393,                   0,             0.47455,             0.58455,             0.51124,             0.17689,            0.043005,            0.013642,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.059224,             0.03152,                   0,             0.47455,             0.58455,             0.51124,             0.17689,            0.043005,            0.013642,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.060555,            0.027378,                   0,              0.4042,              0.5192,             0.42022,             0.12987,            0.054245,            0.012218,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.069253,            0.024828,                   0,              0.4042,              0.5192,             0.42022,             0.12987,            0.054245,            0.012218,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.075049,            0.023715,                   0,              0.4042,              0.5192,             0.42022,             0.12987,            0.054245,            0.012218,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.064689,            0.030352,                   0,             0.43199,             0.58824,             0.50758,              0.2127,            0.041787,            0.013494,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.050966,            0.027142,                   0,             0.43199,             0.58824,             0.50758,              0.2127,            0.041787,            0.013494,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.056833,            0.027242,                   0,             0.36356,             0.50466,             0.42204,             0.13572,            0.050144,            0.012775,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.069674,            0.027485,                   0,             0.36356,             0.50466,             0.42204,             0.13572,            0.050144,            0.012775,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.066296,            0.027712,                   0,             0.36356,             0.50466,             0.42204,             0.13572,            0.050144,            0.012775,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.063982,            0.030653,                   0,             0.42833,             0.52892,             0.46933,             0.19532,            0.044923,            0.012981,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.057478,            0.024975,                   0,             0.42833,             0.52892,             0.46933,             0.19532,            0.044923,            0.012981,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.061762,             0.02711,                   0,             0.34289,             0.47059,             0.33733,            0.080544,            0.050579,            0.012239,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.063533,            0.028078,                   0,             0.34289,             0.47059,             0.33733,            0.080544,            0.050579,            0.012239,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.064428,            0.028165,                   0,             0.34289,             0.47059,             0.33733,            0.080544,            0.050579,            0.012239,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.065577,            0.024683,                   0,             0.40933,             0.52995,             0.46562,             0.14041,            0.046169,            0.012455,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.065964,             0.02642,                   0,             0.40933,             0.52995,             0.46562,             0.14041,            0.046169,            0.012455,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.063411,            0.025823,                   0,             0.55274,             0.52941,             0.61421,             0.19574,             0.04455,            0.012756,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.058271,            0.026257,                   0,             0.55274,             0.52941,             0.61421,             0.19574,             0.04455,            0.012756,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.057901,            0.023374,                   0,             0.55274,             0.52941,             0.61421,             0.19574,             0.04455,            0.012756,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.060956,            0.025027,                   0,             0.44766,             0.52941,             0.51625,             0.18621,            0.046389,            0.012627,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.063446,            0.028503,                   0,             0.44766,             0.52941,             0.51625,             0.18621,            0.046389,            0.012627,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.061673,            0.028429,                   0,             0.48664,             0.52941,             0.56832,              0.2755,            0.035681,            0.013259,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.061299,            0.026794,                   0,             0.48664,             0.52941,             0.56832,              0.2755,            0.035681,            0.013259,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.061964,            0.031026,                   0,             0.48664,             0.52941,             0.56832,              0.2755,            0.035681,            0.013259,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.056297,            0.025171,                   0,             0.55309,             0.58824,             0.52236,             0.26632,            0.037135,            0.013009,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.055274,            0.028463,                   0,             0.55309,             0.58824,             0.52236,             0.26632,            0.037135,            0.013009,                   0,           0.0051985,           0.0051985,           0.0051985
